jarvis id,jarvis band structure (BG),"preds band structure (BG, Direc BG, VBM, CBM)"
JVASP-77611,[2.7290000915527344],"[3.651607036590576, 3.8048956394195557, -5.979743480682373, -2.318160057067871]"
JVASP-78011,[0.0],"[0.014407634735107422, 0.03622794151306152, -4.478870868682861, -4.4376139640808105]"
JVASP-77612,[0.0],"[0.07283198833465576, 0.07436966896057129, -4.405004978179932, -4.29089879989624]"
JVASP-77613,[0.0],"[0.03424477577209473, 0.02642822265625, -4.255767822265625, -4.162317276000977]"
JVASP-78013,[2.114000082015991],"[3.5417587757110596, 3.5626795291900635, -5.989532947540283, -2.445788860321045]"
JVASP-77643,[1.7619999647140503],"[2.6041996479034424, 2.8075335025787354, -6.329211235046387, -3.7310001850128174]"
JVASP-78014,[0.0],"[0.5307254791259766, 0.5909305810928345, -6.816424369812012, -6.1680145263671875]"
JVASP-77650,[0.17299997806549072],"[0.9753208160400391, 1.0238211154937744, -8.259552955627441, -7.249995708465576]"
JVASP-77653,[0.40700000524520874],"[1.388355016708374, 1.517637014389038, -5.091620445251465, -3.712597370147705]"
JVASP-78015,[0.0],"[0.014855027198791504, 0.0192108154296875, -4.44558572769165, -4.419627666473389]"
JVASP-77658,[0.921999990940094],"[1.8149166107177734, 2.0075714588165283, -7.033603191375732, -5.212918758392334]"
JVASP-78019,[0.0],"[0.4968569278717041, 0.6108349561691284, -5.461495399475098, -4.908463478088379]"
JVASP-77660,[0.0],"[0.014318704605102539, 0.02495574951171875, -4.420254230499268, -4.402239799499512]"
JVASP-78021,[0.0],"[0.22208309173583984, 0.2766021490097046, -5.086097240447998, -4.778661251068115]"
JVASP-5871,[0.7749999761581421],"[2.0022072792053223, 2.056044816970825, -6.358962535858154, -4.341490268707275]"
JVASP-77663,[2.569000005722046],"[4.395394325256348, 4.428559303283691, -5.473107814788818, -1.0920279026031494]"
JVASP-78024,[1.5850000381469727],"[2.9270401000976562, 3.250654458999634, -7.326809883117676, -4.4032135009765625]"
JVASP-77665,[0.0],"[0.020338058471679688, 0.05874371528625488, -4.48851203918457, -4.451676845550537]"
JVASP-680,[0.0],"[0.10138928890228271, 0.16115820407867432, -4.7435383796691895, -4.603112697601318]"
JVASP-77671,[2.6459999084472656],"[5.168482303619385, 5.392975807189941, -9.440933227539062, -4.269529819488525]"
JVASP-78027,[2.046999931335449],"[2.850287914276123, 3.1500444412231445, -6.391737937927246, -3.5331664085388184]"
JVASP-77673,[0.9549999833106995],"[1.9840730428695679, 2.154428243637085, -7.294496059417725, -5.307027816772461]"
JVASP-78030,[0.7710000276565552],"[0.7425565719604492, 0.9948925971984863, -5.398039817810059, -4.652962684631348]"
JVASP-78033,[3.9609999656677246],"[6.25353479385376, 6.481301307678223, -12.593886375427246, -6.353666305541992]"
JVASP-77675,[2.188999891281128],"[2.7491605281829834, 3.0868678092956543, -7.122454643249512, -4.382143974304199]"
JVASP-78034,[2.26200008392334],"[3.7474863529205322, 3.846616268157959, -5.789373874664307, -2.057833194732666]"
JVASP-77684,[0.0],"[-0.0002574920654296875, -3.504753112792969e-05, -4.857773780822754, -4.856042385101318]"
JVASP-78035,[0.47600001096725464],"[0.6833869218826294, 0.7470288276672363, -5.3870320320129395, -4.710569858551025]"
JVASP-77690,[1.9179999828338623],"[2.442119836807251, 2.7265801429748535, -6.759879112243652, -4.320891380310059]"
JVASP-78036,[0.0],"[0.044960975646972656, 0.10718083381652832, -5.511396884918213, -5.427840232849121]"
JVASP-77693,[0.0],"[0.03883218765258789, 0.06120634078979492, -5.130532264709473, -5.054101943969727]"
JVASP-78037,[1.2319999933242798],"[1.6924328804016113, 1.7367085218429565, -5.583869934082031, -3.8890225887298584]"
JVASP-77694,[3.3949999809265137],"[5.097433090209961, 5.265875816345215, -7.465569496154785, -2.36362624168396]"
JVASP-78041,[2.757999897003174],"[5.051430702209473, 5.162360191345215, -6.658085823059082, -1.594038724899292]"
JVASP-77697,[0.0],"[0.17459869384765625, 0.2565774917602539, -5.249605178833008, -4.980487823486328]"
JVASP-77698,[0.0],"[0.11207246780395508, 0.1178438663482666, -4.385522842407227, -4.196424961090088]"
JVASP-78042,[0.0],"[0.018257737159729004, 0.030923843383789062, -4.602237701416016, -4.567250728607178]"
JVASP-27834,[0.0],"[0.029075980186462402, 0.013363361358642578, -4.463576316833496, -4.348381519317627]"
JVASP-77700,[2.753000020980835],"[4.278487205505371, 4.595821380615234, -6.535791397094727, -2.244617462158203]"
JVASP-77701,[0.29600000381469727],"[1.0200510025024414, 1.0492331981658936, -4.9487175941467285, -3.931098222732544]"
JVASP-77702,[2.0199999809265137],"[2.736476182937622, 3.0058488845825195, -6.675903797149658, -3.935086488723755]"
JVASP-77706,[2.3289999961853027],"[3.517550468444824, 3.9613730907440186, -7.1640496253967285, -3.6529500484466553]"
JVASP-27836,[0.0],"[0.1041877269744873, 0.11186623573303223, -4.390047073364258, -4.203806400299072]"
JVASP-77713,[4.995999813079834],"[6.100541114807129, 6.354135513305664, -7.54146671295166, -1.4287536144256592]"
JVASP-77991,[0.0],"[0.6942918300628662, 0.7396441698074341, -6.851190567016602, -6.055886268615723]"
JVASP-77993,[1.2899999618530273],"[2.392428398132324, 2.507668972015381, -7.259840488433838, -4.870409965515137]"
JVASP-13545,[0.0],"[0.017600655555725098, 0.047017574310302734, -4.279541492462158, -4.232638359069824]"
JVASP-77994,[2.7149999141693115],"[4.191549301147461, 4.370739936828613, -6.324342250823975, -2.130845546722412]"
JVASP-77996,[0.9610000252723694],"[3.345113754272461, 3.5156548023223877, -5.295639991760254, -1.9620513916015625]"
JVASP-77997,[1.5479999780654907],"[2.271923780441284, 2.421424388885498, -6.749115943908691, -4.473118782043457]"
JVASP-77998,[1.2230000495910645],"[2.4606668949127197, 2.8300909996032715, -5.947181224822998, -3.4681200981140137]"
JVASP-13546,[1.2450000047683716],"[3.6106033325195312, 3.6490933895111084, -5.862914562225342, -2.2542123794555664]"
JVASP-19989,[1.8949999809265137],"[2.5463123321533203, 2.68868350982666, -5.721673011779785, -3.1727073192596436]"
JVASP-13547,[0.0],"[0.01864945888519287, 0.027251720428466797, -4.469716548919678, -4.4451799392700195]"
JVASP-13548,[0.0],"[0.027797698974609375, 0.04358863830566406, -4.360162734985352, -4.325568199157715]"
JVASP-13549,[1.4019999504089355],"[1.9645328521728516, 1.9770201444625854, -5.649395942687988, -3.6743836402893066]"
JVASP-77580,[1.2949999570846558],"[4.237346172332764, 4.247283935546875, -6.639054298400879, -2.3992433547973633]"
JVASP-77581,[0.0],"[0.3820514678955078, 0.4905015230178833, -6.543663501739502, -6.063497543334961]"
JVASP-77582,[0.0],"[1.0180792808532715, 1.2885462045669556, -5.808559417724609, -4.792108058929443]"
JVASP-77583,[1.6380000114440918],"[2.4085259437561035, 2.5786924362182617, -5.946173191070557, -3.5490846633911133]"
JVASP-19990,[0.0],"[0.02752542495727539, 0.09865736961364746, -4.403209686279297, -4.365108489990234]"
JVASP-77584,[2.9649999141693115],"[4.707132339477539, 4.785576820373535, -6.39992094039917, -1.6877648830413818]"
JVASP-77585,[0.0],"[0.44352400302886963, 0.712073802947998, -6.474400520324707, -5.891716480255127]"
JVASP-13550,[0.0],"[0.07504713535308838, 0.12066006660461426, -4.48667049407959, -4.417179107666016]"
JVASP-6115,[2.945000171661377],"[3.567030191421509, 3.666665554046631, -6.629763126373291, -3.062030792236328]"
JVASP-28183,[2.2669999599456787],"[3.2691779136657715, 3.6102471351623535, -6.563522815704346, -3.289539337158203]"
JVASP-28185,[0.0],"[0.22874140739440918, 0.6900217533111572, -4.947082996368408, -4.604398250579834]"
JVASP-28199,[0.0],"[0.5217807292938232, 0.5796687602996826, -6.679847240447998, -5.999185562133789]"
JVASP-28212,[0.0],"[0.5524059534072876, 0.5789992809295654, -6.909665107727051, -6.26960563659668]"
JVASP-27841,[1.1970000267028809],"[2.340880870819092, 2.265083074569702, -6.400147438049316, -4.038912296295166]"
JVASP-27846,[1.1160000562667847],"[1.6502397060394287, 1.712426781654358, -5.858059883117676, -4.205116271972656]"
JVASP-13551,[1.2089999914169312],"[2.038198709487915, 2.095525026321411, -6.478763580322266, -4.4381103515625]"
JVASP-6430,[3.2899999618530273],"[4.1418890953063965, 4.11017370223999, -8.639996528625488, -4.499892234802246]"
JVASP-6694,[0.0],"[0.03940439224243164, 0.03959488868713379, -4.3889384269714355, -4.2909255027771]"
JVASP-6700,[0.0],"[0.05381894111633301, 0.08152604103088379, -4.546693801879883, -4.466254711151123]"
JVASP-8879,[1.3359999656677246],"[3.80903959274292, 3.8243770599365234, -6.0108747482299805, -2.2012481689453125]"
JVASP-6703,[0.0],"[0.09142160415649414, 0.1770685911178589, -4.658631324768066, -4.540682792663574]"
JVASP-27847,[0.640999972820282],"[1.5655431747436523, 1.6951801776885986, -5.9878950119018555, -4.4206390380859375]"
JVASP-28218,[1.5169999599456787],"[3.7191483974456787, 3.958885669708252, -8.827698707580566, -5.106444835662842]"
JVASP-6238,[0.009999990463256836],"[0.0312962532043457, 0.07066035270690918, -4.257351875305176, -4.220701694488525]"
JVASP-6232,[3.8940000534057617],"[5.180326461791992, 5.213926315307617, -9.003812789916992, -3.835515022277832]"
JVASP-31348,[0.0],"[0.02752101421356201, 0.09863948822021484, -4.403203010559082, -4.365102767944336]"
JVASP-652,[1.3339999914169312],"[1.7549043893814087, 1.761268973350525, -5.00624942779541, -3.2528786659240723]"
JVASP-31349,[0.746999979019165],"[1.2644379138946533, 1.3955622911453247, -4.909950256347656, -3.6512537002563477]"
JVASP-19991,[0.37699997425079346],"[1.4287009239196777, 1.5222108364105225, -5.233168125152588, -3.758845329284668]"
JVASP-5995,[2.6530001163482666],"[2.33026385307312, 2.6187031269073486, -6.840248107910156, -4.509828090667725]"
JVASP-6307,[2.0899999141693115],"[2.9569649696350098, 3.0085325241088867, -6.522221088409424, -3.570341110229492]"
JVASP-6706,[2.6519999504089355],"[2.330289840698242, 2.618727207183838, -6.8402814865112305, -4.509833335876465]"
JVASP-6712,[0.0],"[0.020581483840942383, 0.01417398452758789, -4.281780242919922, -4.262663841247559]"
JVASP-31353,[0.0],"[0.10914278030395508, 0.1625380516052246, -4.052468299865723, -3.9205150604248047]"
JVASP-28223,[0.0],"[0.4433746337890625, 0.504252552986145, -6.554876327514648, -5.980915069580078]"
JVASP-6220,[2.8980000019073486],"[2.802588939666748, 3.083895683288574, -7.680729866027832, -4.879522323608398]"
JVASP-28236,[0.0],"[0.45671188831329346, 0.5304346084594727, -6.898983955383301, -6.27983283996582]"
JVASP-6325,[1.9049999713897705],"[2.9942798614501953, 3.118720293045044, -7.026823997497559, -4.033820152282715]"
JVASP-31356,[0.0],"[0.0357356071472168, 0.03732466697692871, -5.57137393951416, -5.463515758514404]"
JVASP-8888,[1.2309999465942383],"[2.046459674835205, 2.086153030395508, -6.230125427246094, -4.183062553405762]"
JVASP-27848,[0.014999985694885254],"[0.24588441848754883, 0.28097498416900635, -4.911179065704346, -4.60676908493042]"
JVASP-8891,[4.380000114440918],"[5.093393325805664, 5.178993225097656, -7.193625450134277, -2.106074571609497]"
JVASP-28250,[1.8839998245239258],"[3.192666530609131, 3.534914016723633, -6.690262794494629, -3.5020675659179688]"
JVASP-28252,[0.0],"[0.1242985725402832, 0.1505286693572998, -5.191460132598877, -4.956162929534912]"
JVASP-27849,[0.001999974250793457],"[0.008656620979309082, 0.009324073791503906, -4.237321853637695, -4.201682090759277]"
JVASP-27851,[0.0],"[0.20800185203552246, 0.244049072265625, -5.010569095611572, -4.708327293395996]"
JVASP-28262,[1.215999960899353],"[3.207737922668457, 3.3890316486358643, -6.440506935119629, -3.2361865043640137]"
JVASP-28268,[1.4010000228881836],"[2.059217691421509, 2.330531358718872, -5.3411712646484375, -3.286571502685547]"
JVASP-27853,[0.0],"[0.09566366672515869, 0.26213109493255615, -5.056170463562012, -4.931288719177246]"
JVASP-27855,[0.0],"[0.05457937717437744, 0.33339977264404297, -4.414229869842529, -4.370631217956543]"
JVASP-27856,[0.0],"[-0.006509542465209961, -0.006556272506713867, -4.320179462432861, -4.321467399597168]"
JVASP-27858,[0.0],"[0.04068481922149658, 0.0568852424621582, -4.381864547729492, -4.304457664489746]"
JVASP-27859,[0.6650000810623169],"[1.1483407020568848, 1.251373052597046, -5.22516393661499, -4.074376583099365]"
JVASP-27862,[1.6319999694824219],"[2.0315606594085693, 2.458768844604492, -5.546046257019043, -3.512432813644409]"
JVASP-27864,[0.0],"[0.02813112735748291, 0.017884492874145508, -4.296755790710449, -4.2088799476623535]"
JVASP-27865,[0.0],"[0.060939669609069824, 0.0584406852722168, -4.386746883392334, -4.2859320640563965]"
JVASP-27866,[0.0],"[0.22277545928955078, 0.21919727325439453, -4.775629043579102, -4.478413105010986]"
JVASP-28270,[1.4479999542236328],"[1.7002449035644531, 1.7777124643325806, -6.778533458709717, -5.068601608276367]"
JVASP-27869,[0.6919999122619629],"[0.7844945192337036, 0.9031537771224976, -4.986091613769531, -4.21537971496582]"
JVASP-27870,[0.421999990940094],"[0.7511042356491089, 1.379557490348816, -5.384397506713867, -4.619571208953857]"
JVASP-27872,[0.0],"[0.06477820873260498, 0.07175350189208984, -4.372208595275879, -4.267127513885498]"
JVASP-28277,[2.5260000228881836],"[3.8490991592407227, 4.052563667297363, -6.899017333984375, -3.047605037689209]"
JVASP-27885,[1.74399995803833],"[2.363307237625122, 2.5785176753997803, -5.54619836807251, -3.1820273399353027]"
JVASP-27887,[0.0],"[0.31338977813720703, 0.401497483253479, -4.596255302429199, -4.231686115264893]"
JVASP-27889,[2.927999973297119],"[4.330766677856445, 4.458926677703857, -7.794398784637451, -3.4717929363250732]"
JVASP-9023,[1.3559999465942383],"[1.9391112327575684, 2.111107587814331, -6.052489757537842, -4.112696170806885]"
JVASP-756,[1.5529999732971191],"[2.3005218505859375, 2.649540901184082, -7.3468170166015625, -5.03805685043335]"
JVASP-9026,[1.6690000295639038],"[2.5194835662841797, 2.7420101165771484, -6.03961181640625, -3.5213751792907715]"
JVASP-689,[1.2419999837875366],"[2.0958797931671143, 2.8212666511535645, -6.912513256072998, -4.8161468505859375]"
JVASP-6862,[0.0],"[0.11807608604431152, 0.16344761848449707, -5.503281593322754, -5.3237175941467285]"
JVASP-768,[0.0],"[0.009620189666748047, 0.015597343444824219, -4.550926685333252, -4.529489517211914]"
JVASP-6421,[0.0],"[0.028453707695007324, 0.07974886894226074, -4.313658714294434, -4.280923366546631]"
JVASP-6613,[0.0],"[0.03575313091278076, 0.03523135185241699, -4.417753219604492, -4.334160804748535]"
JVASP-6625,[0.0],"[0.09789204597473145, 0.11380338668823242, -4.171475410461426, -4.027919769287109]"
JVASP-8864,[0.3869999647140503],"[0.6521619558334351, 0.8068861961364746, -5.035987377166748, -4.396327495574951]"
JVASP-6631,[0.0],"[0.08415722846984863, 0.08095765113830566, -4.085470199584961, -3.92024827003479]"
JVASP-6010,[0.0],"[0.019684910774230957, 0.023848533630371094, -3.832693576812744, -3.8324687480926514]"
JVASP-6634,[0.0],"[0.1344538927078247, 0.30152463912963867, -5.099067211151123, -4.933975696563721]"
JVASP-6865,[0.5389999747276306],"[0.844894289970398, 1.2582554817199707, -5.674079418182373, -4.821207046508789]"
JVASP-28280,[2.058000087738037],"[2.9156980514526367, 3.1110315322875977, -6.2478203773498535, -3.3234798908233643]"
JVASP-6352,[1.6510000228881836],"[2.7282662391662598, 2.771191120147705, -6.334483623504639, -3.604532241821289]"
JVASP-27724,[0.746999979019165],"[0.6546337604522705, 0.9022263288497925, -5.1091108322143555, -4.4562602043151855]"
JVASP-6355,[1.4730000495910645],"[2.449965715408325, 2.4929869174957275, -6.241898536682129, -3.7966437339782715]"
JVASP-6346,[1.7899999618530273],"[2.723466634750366, 2.811497449874878, -6.304513454437256, -3.5837936401367188]"
JVASP-720,[1.281999945640564],"[2.022585391998291, 2.558356285095215, -6.31508731842041, -4.289199352264404]"
JVASP-6013,[0.0],"[0.02969074249267578, 0.04519963264465332, -4.93158483505249, -4.849201202392578]"
JVASP-5959,[0.0],"[0.007967948913574219, 0.027008056640625, -5.062203407287598, -5.079222679138184]"
JVASP-28291,[0.0],"[0.18876099586486816, 0.3318713903427124, -5.450479984283447, -5.182498931884766]"
JVASP-28292,[0.0],"[0.1285233497619629, 0.2815974950790405, -5.455053329467773, -5.258322715759277]"
JVASP-6643,[1.2300000190734863],"[0.9703167676925659, 1.0844250917434692, -5.5890350341796875, -4.622864723205566]"
JVASP-5992,[0.0],"[0.026412248611450195, 0.0701456069946289, -5.1864848136901855, -5.144448280334473]"
JVASP-780,[0.0],"[0.048880577087402344, 0.16782355308532715, -4.262409210205078, -4.230974197387695]"
JVASP-687,[1.840000033378601],"[2.423382520675659, 2.4874091148376465, -6.25048828125, -3.8125107288360596]"
JVASP-9032,[0.0],"[0.0872122049331665, 0.0843203067779541, -5.078273773193359, -4.955840587615967]"
JVASP-6886,[0.0],"[0.5089138746261597, 1.0314851999282837, -5.2679972648620605, -4.782215118408203]"
JVASP-6070,[0.0],"[0.031360745429992676, 0.11152124404907227, -5.160927772521973, -5.100203037261963]"
JVASP-6007,[2.5920000076293945],"[3.421208381652832, 3.459303855895996, -5.487516403198242, -2.0716404914855957]"
JVASP-6652,[0.0],"[0.03651320934295654, 0.027720928192138672, -4.283146858215332, -4.19181489944458]"
JVASP-6241,[0.0],"[0.13943243026733398, 0.14184856414794922, -4.780608177185059, -4.543276309967041]"
JVASP-6244,[2.4839999675750732],"[3.422118663787842, 3.7720842361450195, -7.457890510559082, -4.035651206970215]"
JVASP-5890,[1.812999963760376],"[2.165956974029541, 2.2131595611572266, -5.430437088012695, -3.277430772781372]"
JVASP-789,[0.5699999928474426],"[1.1207964420318604, 2.014526605606079, -5.873873233795166, -4.743062973022461]"
JVASP-6661,[0.0],"[0.01375579833984375, 0.028117656707763672, -4.428525924682617, -4.410580158233643]"
JVASP-27890,[0.0],"[0.2060692310333252, 0.322376012802124, -4.745274066925049, -4.470695972442627]"
JVASP-5908,[0.0],"[0.03210783004760742, 0.1665191650390625, -4.403271198272705, -4.378479480743408]"
JVASP-5888,[3.0250000953674316],"[3.9289426803588867, 4.170191764831543, -6.322198867797852, -2.383394718170166]"
JVASP-6670,[0.0],"[0.020260214805603027, 0.03832387924194336, -4.308506965637207, -4.278947353363037]"
JVASP-6676,[0.0],"[0.11690783500671387, 0.13728690147399902, -4.64489221572876, -4.45481538772583]"
JVASP-771,[0.050999999046325684],"[1.0925984382629395, 1.6599812507629395, -6.037756443023682, -4.89764928817749]"
JVASP-6028,[1.1929999589920044],"[1.3179247379302979, 1.3854756355285645, -4.6472978591918945, -3.329038619995117]"
JVASP-6889,[0.0],"[0.06213676929473877, 0.10901927947998047, -4.65609073638916, -4.596412658691406]"
JVASP-777,[0.0],"[0.08610105514526367, 0.37386226654052734, -4.704592704772949, -4.624209403991699]"
JVASP-6715,[1.4249999523162842],"[2.4522342681884766, 2.5987024307250977, -7.310093402862549, -4.836763381958008]"
JVASP-8894,[3.5920000076293945],"[4.276630401611328, 4.64323616027832, -8.07219123840332, -3.791785955429077]"
JVASP-6229,[1.6169999837875366],"[0.9554147720336914, 1.0669219493865967, -5.985019207000732, -5.0242919921875]"
JVASP-27726,[0.0],"[0.02497851848602295, 0.042557477951049805, -4.364402770996094, -4.289035797119141]"
JVASP-6721,[2.371999979019165],"[2.885711193084717, 3.135145425796509, -6.5588297843933105, -3.679093599319458]"
JVASP-6409,[1.5889999866485596],"[1.9228217601776123, 2.2908198833465576, -6.640532970428467, -4.712661266326904]"
JVASP-28295,[0.5249999761581421],"[1.3382599353790283, 1.8344439268112183, -6.281092643737793, -4.927039623260498]"
JVASP-6214,[1.4240000247955322],"[1.843836784362793, 2.0040225982666016, -6.38840389251709, -4.547107219696045]"
JVASP-6361,[1.1890000104904175],"[1.7164469957351685, 1.9424105882644653, -6.043646812438965, -4.322331428527832]"
JVASP-6724,[0.890999972820282],"[1.542548418045044, 1.618575930595398, -6.0456671714782715, -4.500236988067627]"
JVASP-6727,[1.850000023841858],"[1.4955151081085205, 1.5550512075424194, -6.403031826019287, -4.9051079750061035]"
JVASP-9035,[0.0],"[0.1800450086593628, 0.16053426265716553, -4.683418273925781, -4.467406749725342]"
JVASP-6730,[1.871000051498413],"[2.2181458473205566, 2.3946046829223633, -6.274295806884766, -4.063600540161133]"
JVASP-9038,[0.0],"[0.06195223331451416, 0.05718493461608887, -4.683351039886475, -4.581189155578613]"
JVASP-6532,[1.847000002861023],"[3.002795457839966, 2.9055235385894775, -8.514827728271484, -5.510929107666016]"
JVASP-5905,[4.760000228881836],"[6.310018539428711, 6.333652496337891, -8.948671340942383, -2.6334495544433594]"
JVASP-6106,[2.680999994277954],"[3.5081024169921875, 3.538137197494507, -6.757049083709717, -3.2475876808166504]"
JVASP-27727,[0.0],"[0.04580259323120117, 0.0723421573638916, -4.374298095703125, -4.290918827056885]"
JVASP-6739,[1.7519999742507935],"[2.2907934188842773, 2.288414239883423, -6.699272155761719, -4.411187171936035]"
JVASP-6742,[0.003000020980834961],"[0.5471011400222778, 0.5757485628128052, -6.284543037414551, -5.66694450378418]"
JVASP-5965,[3.7950000762939453],"[4.225139617919922, 4.582807540893555, -6.645449638366699, -2.4287753105163574]"
JVASP-27733,[0.0],"[0.218245267868042, 0.3869040012359619, -5.001737594604492, -4.726174831390381]"
JVASP-8912,[2.180999994277954],"[2.634272813796997, 2.7790536880493164, -6.510646820068359, -3.8792529106140137]"
JVASP-6004,[3.808000087738037],"[5.037961006164551, 5.112712860107422, -8.007851600646973, -2.965665340423584]"
JVASP-6055,[0.0],"[0.12859737873077393, 0.14455747604370117, -4.921049118041992, -4.708807468414307]"
JVASP-6139,[1.8880000114440918],"[3.0186734199523926, 3.531209945678711, -6.954868793487549, -3.916872978210449]"
JVASP-8915,[0.0],"[3.7086870670318604, 3.7937607765197754, -7.739870071411133, -4.028228759765625]"
JVASP-28296,[2.640000104904175],"[4.131113052368164, 4.6751861572265625, -9.630759239196777, -5.498518943786621]"
JVASP-6118,[0.19200003147125244],"[0.3502082824707031, 0.39151012897491455, -4.593465805053711, -4.197122097015381]"
JVASP-6061,[6.308999538421631],"[7.654971122741699, 7.881004333496094, -9.40798282623291, -1.758857250213623]"
JVASP-6364,[2.4820001125335693],"[4.327313423156738, 4.284852981567383, -8.373547554016113, -4.04105806350708]"
JVASP-5968,[2.2019999027252197],"[2.4829680919647217, 2.691725730895996, -6.477854251861572, -3.994779586791992]"
JVASP-28311,[2.065999984741211],"[2.620224714279175, 2.8195860385894775, -6.125539779663086, -3.4949493408203125]"
JVASP-27891,[1.4249999523162842],"[2.2141811847686768, 2.274465799331665, -6.256331920623779, -4.04246711730957]"
JVASP-6418,[1.2170000076293945],"[4.665369033813477, 4.628840446472168, -7.806391716003418, -3.1386775970458984]"
JVASP-27738,[0.0],"[0.023376107215881348, 0.0334012508392334, -4.061582088470459, -4.029068946838379]"
JVASP-6127,[0.0],"[0.19349396228790283, 0.20430052280426025, -5.571693420410156, -5.333520412445068]"
JVASP-27739,[2.0179998874664307],"[2.8445632457733154, 2.8913395404815674, -6.467864990234375, -3.6176939010620117]"
JVASP-6142,[3.7839999198913574],"[5.989415168762207, 6.05633020401001, -9.195947647094727, -3.2141218185424805]"
JVASP-27740,[2.6559998989105225],"[3.6040635108947754, 3.674532651901245, -7.572569370269775, -3.9592745304107666]"
JVASP-6109,[0.5619999766349792],"[1.564319372177124, 1.536173939704895, -5.8717875480651855, -4.306666374206543]"
JVASP-27741,[1.9850000143051147],"[2.709773540496826, 2.715043544769287, -6.2721076011657715, -3.550060510635376]"
JVASP-6898,[3.007999897003174],"[4.456442832946777, 4.740056037902832, -7.771518707275391, -3.312986373901367]"
JVASP-6403,[3.0850000381469727],"[3.855818748474121, 3.9233665466308594, -7.615444183349609, -3.761911630630493]"
JVASP-6535,[1.4259999990463257],"[1.6214680671691895, 1.843802809715271, -7.0768141746521, -5.450439929962158]"
JVASP-6901,[0.0],"[0.11876964569091797, 0.15729641914367676, -4.567842960357666, -4.396340370178223]"
JVASP-6211,[0.7369999885559082],"[1.6502045392990112, 1.8198524713516235, -7.0326714515686035, -5.37912130355835]"
JVASP-6904,[0.0],"[0.20250630378723145, 0.2018824815750122, -4.687617778778076, -4.461298942565918]"
JVASP-6907,[2.063999891281128],"[1.761836051940918, 1.8707362413406372, -6.644437789916992, -4.890133380889893]"
JVASP-6604,[1.5199999809265137],"[2.2026753425598145, 2.3057591915130615, -6.3297810554504395, -4.118899822235107]"
JVASP-6544,[2.303999900817871],"[3.681413173675537, 4.090295314788818, -5.889678478240967, -2.212089776992798]"
JVASP-6910,[0.0],"[0.2565145492553711, 0.32107651233673096, -4.352262020111084, -4.084012031555176]"
JVASP-723,[1.437000036239624],"[1.9609750509262085, 2.20590877532959, -5.975342750549316, -4.010366439819336]"
JVASP-6208,[4.049999713897705],"[4.737008094787598, 4.842485427856445, -6.819953441619873, -2.0856213569641113]"
JVASP-6913,[0.0],"[0.5448644161224365, 0.6167303323745728, -5.649989604949951, -4.994775772094727]"
JVASP-8927,[2.3359999656677246],"[5.478431701660156, 5.541471481323242, -7.421194076538086, -1.940462350845337]"
JVASP-27754,[0.8500000238418579],"[3.164364814758301, 3.191429615020752, -4.443877220153809, -1.2912662029266357]"
JVASP-6520,[1.6970000267028809],"[2.468151569366455, 2.565642833709717, -6.226351737976074, -3.749044895172119]"
JVASP-6073,[0.0],"[0.04872751235961914, 0.08222794532775879, -4.226466655731201, -4.1504316329956055]"
JVASP-6916,[0.0],"[0.14295315742492676, 0.1462554931640625, -4.406869888305664, -4.20576286315918]"
JVASP-6100,[5.6529998779296875],"[6.982059955596924, 7.097519874572754, -9.032702445983887, -2.0468711853027344]"
JVASP-6919,[0.0],"[0.8802288770675659, 1.1232709884643555, -5.111049652099609, -4.16907262802124]"
JVASP-6922,[0.906000018119812],"[4.08734655380249, 4.338403701782227, -9.412351608276367, -5.311594009399414]"
JVASP-6925,[0.0],"[0.06361579895019531, 0.08096909523010254, -4.345144271850586, -4.258950233459473]"
JVASP-5977,[0.0],"[0.025638699531555176, 0.09087610244750977, -4.349366664886475, -4.337899208068848]"
JVASP-8936,[1.6660000085830688],"[4.752847671508789, 4.789165019989014, -6.260231018066406, -1.5065946578979492]"
JVASP-6253,[1.8170000314712524],"[2.4927897453308105, 2.8668713569641113, -6.778684139251709, -4.284747123718262]"
JVASP-6397,[0.14399993419647217],"[1.5065627098083496, 1.708510398864746, -5.285510063171387, -3.788518190383911]"
JVASP-6205,[1.565000057220459],"[2.8351473808288574, 2.828026533126831, -6.8210554122924805, -3.9601078033447266]"
JVASP-6091,[3.332000255584717],"[4.219841003417969, 4.269172668457031, -7.649557113647461, -3.432698965072632]"
JVASP-6931,[1.0889999866485596],"[1.7554469108581543, 1.7498685121536255, -5.505760192871094, -3.7563891410827637]"
JVASP-27755,[2.51200008392334],"[4.513869285583496, 4.593471527099609, -11.787034034729004, -7.292814254760742]"
JVASP-27899,[2.9790000915527344],"[6.332974910736084, 6.356295585632324, -7.883718013763428, -1.5602788925170898]"
JVASP-27900,[0.0],"[0.13731586933135986, 0.21068155765533447, -4.674474716186523, -4.537662029266357]"
JVASP-6256,[1.6649999618530273],"[2.5342764854431152, 2.567750930786133, -6.048364162445068, -3.514024019241333]"
JVASP-27756,[1.8869999647140503],"[2.789653778076172, 2.804517984390259, -6.247499942779541, -3.45827054977417]"
JVASP-6202,[1.7970000505447388],"[2.821563959121704, 2.9336957931518555, -6.495864391326904, -3.6734530925750732]"
JVASP-6934,[2.942999839782715],"[3.6191153526306152, 3.7053773403167725, -7.569441318511963, -3.9514200687408447]"
